Account address,Show boosts
FilipHorky@mastodonczech.cz,true
alexandrmitrofa@mastodonczech.cz,true
petrkou@mastodonczech.cz,true
ivanbartos@mastodon.pirati.cz,true
xChaos@f.cz,true
marcel_kolaja@mastodon.pirati.cz,true
jie@mastodonczech.cz,true
davidslizek@mastodonczech.cz,true
maestrosill@mastodonczech.cz,true
OliKockova@cztwitter.cz,true
rozanek@mastodonczech.cz,true
nolog@witter.cz,true
kayla_eilhart@witter.cz,true
BohumilVostal@mastodonczech.cz,true
filiptitlbach@mastodonczech.cz,true
boninska@cztwitter.cz,true
365tipu@mastodonczech.cz,true
rychlofky@mastodonczech.cz,true
parlamentnizpravycz@mastodonczech.cz,true
Pirati@mastodon.pirati.cz,true
zandl@mastodon.pirati.cz,true
fabia_man@mamutovo.cz,true
Roman_M@cztwitter.cz,true
marekl@mastodonczech.cz,true
marketkag@mastodon.pirati.cz,true
VladaFoltan@mastodonczech.cz,true
bohdandlouhy@mastodonczech.cz,true
Apolenarychlikova@witter.cz,true
beneslenka@mastodonczech.cz,true
byczech@witter.cz,true
zoul@boskovice.social,true
tymoty@f.cz,true
OttovonWenkoff@mastodonczech.cz,true
Unreed@mastodonczech.cz,true
lupa@mastodonczech.cz,true
TomasFriedl@mastodonczech.cz,true
trnk_c@witter.cz,true
sumavanet@mastodonczech.cz,true
honzakorinek@cztwitter.cz,true
fipa@mastodonczech.cz,true
zbiejczuk@mastodonczech.cz,true
Otakar_Brabec@cztwitter.cz,true
blataak@mastodonczech.cz,true
hajma@cztwitter.cz,true
piskvor@cztwitter.cz,true
zechy@mastodonczech.cz,true
piratzbrna@mastodonczech.cz,true
paveljanicek@mamutovo.cz,true
porucikPihrt@cztwitter.cz,true
s_kavou_v_ruce@cztwitter.cz,true
mskalick@witter.cz,true
prrejpal@cztwitter.cz,true
margo@mastodon.arch-linux.cz,true
infoekcz@mamutovo.cz,true
baadvo@mastodonczech.cz,true
cernejpudinkcz@mastodonczech.cz,true
simindr@mastodonczech.cz,true
DivkaVModrem@cztwitter.cz,true
kalendar@mastodon.arch-linux.cz,true
madla@mastodonczech.cz,true
ChorozonX@cztwitter.cz,true
xmirek@mastodonczech.cz,true
czstatistika@mastodonczech.cz,true
technotramp@mastodonczech.cz,true
DamianVCechov@cztwitter.cz,true
andrej@mastodon.pirati.cz,true
vitex@f.cz,true
KaterinaGloserova@mastodonczech.cz,true
bycx@mastodonczech.cz,true
medidekpu@cztwitter.cz,true
janmelvil@mastodonczech.cz,true
Jankajanicka0@cztwitter.cz,true
Erdela@mastodonczech.cz,true
Ilusie@mastodon.arch-linux.cz,true
otecfura@witter.cz,true
Lenislavka@mastodonczech.cz,true
caragraph@f.cz,true
smoon@mamutovo.cz,true
lepapierblanc@mastodonczech.cz,true
vitsoft@cztwitter.cz,true
Tichy_koutek@mastodonczech.cz,true
xcabal05@mamutovo.cz,true
babaq@mastodonczech.cz,true
tatageek@witter.cz,true
medvjed@witter.cz,true
jachym@mastodonczech.cz,true
Neovlivnicz@witter.cz,true
Petr90@mamutovo.cz,true
honzajavorek@mastodonczech.cz,true
PavelUngr@mastodonczech.cz,true
tomulinek@mastodonczech.cz,true
backorka@cztwitter.cz,true
Onqa6@mastodon.arch-linux.cz,true
Razemix@mamutovo.cz,true
amarok@mastodonczech.cz,true
OpalkovaH@cztwitter.cz,true
anlexcz@witter.cz,true
tomasmartinek@mastodon.pirati.cz,true
lacertacz@mastodonczech.cz,true
sibik@mastodonczech.cz,true
