Account address,Show boosts
Mastodon@mastodon.social,true
Gargron@mastodon.social,false
FediTips@social.growyourown.services,true
arstechnica@mastodon.social,true
stux@mstdn.social,true
molly0xfff@hachyderm.io,true
briankrebs@infosec.exchange,true
nixCraft@mastodon.social,true
eff@mastodon.social,true
torproject@mastodon.social,true
netzpolitik_feed@chaos.social,true
GossiTheDog@cyberplace.social,true
kuketzblog@social.tchncs.de,true
libreoffice@fosstodon.org,true
torvalds@social.kernel.org,false
b0rk@social.jvns.ca,true
digitalcourage@digitalcourage.social,true
CCC@social.bau-ha.us,true
jakub_neruda@techhub.social,true
jaandrle@fosstodon.org,true
technotramp@mastodonczech.cz,true
